gender,race,emotion,calibrate_1,calibrate_2,calibrate_3,calibrate_4,calibrate_5,,
female,African-American,anger,,,,,,,
female,African-American,joy,,,,,,,
female,African-American,fear,,,,,,,
female,African-American,sadness,,,,,,,
male,European,anger,,,,,,,
male,European,joy,,,,,,,
male,European,fear,,,,,,,
male,European,sadness,,,,,,,
female,African-American,anger,,,,,,,
female,African-American,joy,,,,,,,
female,African-American,fear,,,,,,,
female,African-American,sadness,,,,,,,
male,European,anger,,,,,,,
male,European,joy,,,,,,,
male,European,fear,,,,,,,
male,European,sadness,,,,,,,
